Zeit (s),erlaubter Strom (A),L1 Spannung gegen Neutral (V),L2 Spannung gegen Neutral (V),L3 Spannung gegen Neutral (V),L1 Strom (A),L2 Strom (A),L3 Strom (A),L1 Wirkleistung (W),L2 Wirkleistung (W),L3 Wirkleistung (W),L1 Scheinleistung (VA),L2 Scheinleistung (VA),L3 Scheinleistung (VA),L1 Blindleistung (var),L2 Blindleistung (var),L3 Blindleistung (var),L1 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L2 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L3 Leistungsfaktor; Das Vorzeichen des Leistungsfaktors gibt die Richtung des Stromflusses an.,L1 relative Phasenverschiebung (°),L2 relative Phasenverschiebung (°),L3 relative Phasenverschiebung (°),Durchschnittliche Spannung gegen Neutral (V),Durchschnittlicher Strom (A),Summe der Phasenströme (A),Gesamtwirkleistung (W),Gesamtscheinleistung (VA),Gesamtblindleistung (var),Gesamtleistungsfaktor,Gesamtphasenverschiebung (°),Frequenz der Versorgungsspannung (Hz),Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),Gesamtscheinenergie (kVAh),Transportierte elektrische Ladung (Ah),Bezogene Wirkleistung; Entspricht Import-Export-Differenz (W),Max. bezogene Wirkleistung; Höchster gemessener Wert (W),Bezogene Scheinleistung; Entspricht Import-Export-Differenz (VA),Max. bezogene Scheinleistung; Höchster gemessener Wert (VA),Bezogener Neutralleiterstrom (A),Max. bezogener Neutralleiterstrom; Höchster gemessener Wert (A),Spannung L1 zu L2 (V),Spannung L2 zu L3 (V),Spannung L3 zu L1 (V),Durchschnittliche Spannung zwischen Phasen (V),Neutralleiterstrom (A),L1 Total Harmonic Distortion (THD) der Spannung (%),L2 Total Harmonic Distortion (THD) der Spannung (%),L3 Total Harmonic Distortion (THD) der Spannung (%),L1 Total Harmonic Distortion (THD) des Stroms (%),L2 Total Harmonic Distortion (THD) des Stroms (%),L3 Total Harmonic Distortion (THD) des Stroms (%),Durchschnittliche Spannungs-THD (%),Durchschnittliche Strom-THD (%),L1 Bezogener Strom (A),L2 Bezogener Strom (A),L3 Bezogener Strom (A),L1 Max. bezogener Strom; Höchster gemessener Wert (A),L2 Max. bezogener Strom; Höchster gemessener Wert (A),L3 Max. bezogener Strom; Höchster gemessener Wert (A),Spannungs-THD L1 zu L2 (%),Spannungs-THD L2 zu L3 (%),Spannungs-THD L3 zu L1 (%),Durchschnittliche Spannungs-THD zwischen Phasen (%),Summe der Gesamtwirkenergien; Import-Export-Summe aller Phasen (kWh),Summe der Gesamtblindenergien; Import-Export-Summe aller Phasen (kvarh),L1 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L2 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L3 Wirkenergie (Import; vom Fahrzeug aufgenommen) (kWh),L1 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L2 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L3 Wirkenergie (Export; vom Fahrzeug abgegeben) (kWh),L1 Gesamtwirkenergie; Import-Export-Summe (kWh),L2 Gesamtwirkenergie; Import-Export-Summe (kWh),L3 Gesamtwirkenergie; Import-Export-Summe (kWh),L1 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L2 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L3 Blindenergie (Import; vom Fahrzeug aufgenommen) (kvarh),L1 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L2 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L3 Blindenergie (Export; vom Fahrzeug abgegeben) (kvarh),L1 Gesamtblindenergie; Import-Export-Summe (kvarh),L2 Gesamtblindenergie; Import-Export-Summe (kvarh),L3 Gesamtblindenergie; Import-Export-Summe (kvarh)
1.058,32000,213.6447,115.1689,0,31.77664,0,0,6772.316,0,0,6775.371,0,0,-206.4287,0,0,1,0,0,None,None,None,None,10.60676,31.82029,6771.083,6774.229,-206.4287,1,None,49.98,10058.8,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.77663,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.36,1304.724,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2.068,32000,213.4442,115.0776,0,31.77664,0,0,6772.316,0,0,6775.371,0,0,-203.4251,0,0,1,0,0,None,None,None,None,10.60112,31.80336,6768.497,6771.501,-201.6819,1,None,49.98,10058.8,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.80335,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.36,1304.724,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3.078,32000,213.4442,115.0776,0,31.8549,0,0,6773.617,0,0,6776.764,0,0,-206.5027,0,0,1,0,0,None,None,None,None,10.6183,31.8549,6773.617,6776.764,-206.5027,1,None,49.98,10058.81,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.80335,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.36,1304.724,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.088,32000,213.6856,115.2573,0,31.7865,0,0,6774.103,0,0,6777.191,0,0,-204.5863,0,0,1,0,0,None,None,None,None,10.6183,31.8549,6773.617,6776.764,-206.5027,1,None,49.98,10058.81,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.7865,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.37,1304.724,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5.097,32000,213.8614,115.2009,0,31.7865,0,0,6774.103,0,0,6777.191,0,0,-204.5863,0,0,1,0,0,None,None,None,None,10.57666,31.72998,6770.229,6773.369,-206.2323,1,None,49.98,10058.81,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.72998,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.37,1304.724,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6.107,32000,213.8614,115.2009,0,31.83084,0,0,6779.43,0,0,6782.661,0,0,-209.3299,0,0,1,0,0,None,None,None,None,10.61028,31.83084,6779.43,6782.661,-209.3299,1,None,49.98,10058.81,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.72998,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.37,1304.724,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7.117,32000,214.1639,115.2443,0,31.74019,0,0,6778.692,0,0,6781.954,0,0,-210.311,0,0,1,0,0,None,None,None,None,10.60361,31.83084,6779.43,6782.661,-209.3299,1,None,49.98,10058.81,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.74019,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.37,1304.725,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8.127,32000,213.9363,115.2905,0,31.81083,0,0,6781.681,0,0,6781.954,0,0,-210.311,0,0,1,0,0,None,None,None,None,10.60361,31.81083,6781.681,6784.894,-208.7823,1,None,49.98,10058.82,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.81083,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.38,1304.725,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9.137,32000,213.9363,115.2905,0,31.81083,0,0,6781.681,0,0,6780.196,0,0,-202.8165,0,0,1,0,0,None,None,None,None,10.62826,31.88478,6777.162,6780.196,-202.8165,1,None,49.98,10058.82,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.88478,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.38,1304.725,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10.148,32000,213.3553,114.9372,0,31.93587,0,0,6787.695,0,0,6790.693,0,0,-201.7558,0,0,1,0,0,None,None,None,None,10.64529,31.93587,6787.695,6790.693,-203.4012,1,None,50.05,10058.82,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.88478,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.38,1304.725,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11.167,31900,213.1994,114.8619,0,31.98862,0,0,6792.157,0,0,6795.202,0,0,-202.688,0,0,1,0,0,None,None,None,None,10.64529,31.93587,6787.695,6790.693,-203.4012,1,None,50.05,10058.82,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.98862,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.38,1304.725,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12.177,31900,212.9415,114.7154,0,31.90413,0,0,6792.157,0,0,6795.202,0,0,-202.688,0,0,1,0,0,None,None,None,None,10.61798,31.85395,6774.878,6777.91,-202.688,1,None,49.98,10058.82,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.85395,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.38,1304.725,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13.187,31900,212.9415,114.7154,0,31.90413,0,0,6762.765,0,0,6765.778,0,0,-201.8865,0,0,1,0,0,None,None,None,None,10.63471,31.90413,6762.765,6765.778,-201.8865,1,None,49.98,10058.83,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.97128,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.38,1304.725,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14.197,31900,212.4727,114.4766,0,31.97128,0,0,6765.063,0,0,6768.003,0,0,-199.4614,0,0,1,0,0,None,None,None,None,10.64808,31.94424,6770.634,6773.538,-201.8865,1,None,49.98,10058.83,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.97128,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.39,1304.725,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15.208,31900,212.5094,114.4513,0,31.94424,0,0,6770.847,0,0,6773.787,0,0,-199.4614,0,0,1,0,0,None,None,None,None,10.64808,31.94424,6770.634,6773.538,-198.3408,1,None,49.98,10058.83,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.94425,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.39,1304.725,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
16.218,31900,212.5094,114.4513,0,31.94424,0,0,6770.847,0,0,6773.787,0,0,-199.5377,0,0,1,0,0,None,None,None,None,10.65726,31.97178,6770.847,6773.787,-199.5377,1,None,50.03,10058.83,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.93285,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.39,1304.725,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
17.228,31900,212.587,114.5001,0,31.93284,0,0,6763.037,0,0,6765.836,0,0,-194.6144,0,0,1,0,0,None,None,None,None,10.68676,32.06026,6771.143,6773.787,-199.5377,1,None,50.03,10058.83,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.93285,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.39,1304.725,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
18.238,31900,212.0683,114.3735,0,32.06026,0,0,6773.268,0,0,6776.175,0,0,-194.6144,0,0,1,0,0,None,None,None,None,10.68676,32.06026,6771.143,6774.014,-197.209,1,None,49.98,10058.83,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,32.06026,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.39,1304.725,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
19.248,31900,212.0683,114.3735,0,32.06026,0,0,6773.268,0,0,6776.175,0,0,-198.4541,0,0,1,0,0,None,None,None,None,10.65386,31.96157,6773.268,6776.175,-198.4541,1,None,50.01,10058.84,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.92846,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.4,1304.725,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
20.258,31900,212.6954,114.5428,0,31.92846,0,0,6761.758,0,0,6764.701,0,0,-199.52,0,0,1,0,0,None,None,None,None,10.64282,32.04457,6772.769,6775.637,-197.13,1,None,50.03,10058.84,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.92846,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.4,1304.725,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
21.278,31800,212.1668,114.2785,0,32.04457,0,0,6772.769,0,0,6769.312,0,0,-195.8434,0,0,1,0,0,None,None,None,None,10.64282,32.04457,6772.769,6775.637,-197.13,1,None,50.03,10058.84,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,32.04457,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.4,1304.725,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
22.287,31800,212.642,114.5904,0,31.90472,0,0,6772.769,0,0,6769.312,0,0,-195.8434,0,0,1,0,0,None,None,None,None,10.64777,31.94331,6766.478,6769.312,-195.8434,1,None,49.98,10058.84,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.94331,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.4,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
23.297,31800,212.642,114.5904,0,31.90472,0,0,6764.516,0,0,6767.413,0,0,-198.0001,0,0,1,0,0,None,None,None,None,10.63491,31.90472,6764.516,6767.413,-198.0001,1,None,49.98,10058.85,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.92107,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.4,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
24.308,31800,212.979,114.786,0,31.92107,0,0,6765.815,0,0,6768.772,0,0,-203.1208,0,0,1,0,0,None,None,None,None,10.60788,31.82364,6780.221,6783.263,-198.0001,1,None,49.98,10058.85,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.92107,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.41,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
25.317,31800,213.4599,114.9899,0,31.85962,0,0,6768.988,0,0,6772.102,0,0,-203.1208,0,0,1,0,0,None,None,None,None,10.60788,31.82364,6780.221,6783.263,-203.1208,1,None,50.02,10058.85,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.82364,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.41,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
26.327,31800,213.1887,116.6569,0,31.85962,0,0,6768.988,0,0,6772.102,0,0,-205.339,0,0,1,0,0,None,None,None,None,10.61987,31.85962,6768.988,6772.102,-205.339,1,None,49.97,10058.85,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.87166,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.41,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
27.337,31800,213.1887,116.6569,0,31.87166,0,0,6759.972,0,0,6763.088,0,0,-205.2826,0,0,1,0,0,None,None,None,None,10.66336,31.99008,6801.91,6805.272,-213.9205,1,None,49.97,10058.85,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.87166,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.41,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
28.347,31800,212.2693,114.9589,0,31.99008,0,0,6737.11,0,0,6739.85,0,0,-192.1597,0,0,1,0,0,None,None,None,None,10.64964,31.99008,6801.91,6805.272,-213.9205,1,None,49.97,10058.85,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.99008,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.41,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
29.357,31800,213.3302,114.9688,0,31.88132,0,0,6737.11,0,0,6739.85,0,0,-192.1597,0,0,1,0,0,None,None,None,None,10.64964,31.94892,6737.11,6739.85,-192.1597,1,None,49.97,10058.86,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.94892,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.42,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
30.368,31800,213.3302,114.9688,0,31.88132,0,0,6783.225,0,0,6786.268,0,0,-203.2088,0,0,1,0,0,None,None,None,None,10.59875,31.79626,6770.3,6773.386,-204.4302,1,None,49.97,10058.86,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.94892,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.42,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
31.387,31700,213.356,114.9182,0,31.79626,0,0,6777.06,0,0,6780.069,0,0,-201.9907,0,0,1,0,0,None,None,None,None,10.62951,31.88854,6777.06,6773.386,-204.4302,1,None,49.97,10058.86,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.79626,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.42,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
32.398,31700,213.2583,114.8216,0,31.93349,0,0,6777.06,0,0,6780.069,0,0,-201.9907,0,0,1,0,0,None,None,None,None,10.62951,31.88854,6777.06,6780.069,-201.9907,1,None,49.97,10058.86,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.93349,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.42,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
33.408,31700,213.2583,114.8216,0,31.93349,0,0,6785.897,0,0,6788.892,0,0,-201.647,0,0,1,0,0,None,None,None,None,10.61499,31.84497,6766.492,6769.48,-201.1368,1,None,49.97,10058.87,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.84497,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.42,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
34.418,31700,213.0551,114.635,0,31.84497,0,0,6761.271,0,0,6764.205,0,0,-199.1905,0,0,1,0,0,None,None,None,None,10.62271,31.86812,6761.271,6764.205,-201.1368,1,None,49.97,10058.87,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.84497,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.42,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
35.428,31700,211.9121,114.0057,0,32.20527,0,0,6785.688,0,0,6788.561,0,0,-199.1905,0,0,1,0,0,None,None,None,None,10.62271,31.86812,6761.271,6764.205,-199.1905,1,None,49.97,10058.87,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,32.20527,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.43,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
36.438,31700,211.9121,114.0057,0,32.20527,0,0,6785.688,0,0,6788.561,0,0,-197.4615,0,0,1,0,0,None,None,None,None,10.73509,32.20527,6726.581,6729.176,-186.8449,1,None,49.97,10058.87,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.86841,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.43,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
37.448,31700,211.9121,114.0057,0,32.20527,0,0,6785.688,0,0,6788.561,0,0,-197.4615,0,0,1,0,0,None,None,None,None,10.73509,32.20527,6726.581,6729.176,-186.8449,1,None,49.97,10058.87,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.86841,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.43,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
38.458,31700,210.4618,113.4747,0,31.86841,0,0,6684.093,0,0,6687.188,0,0,-203.4211,0,0,1,0,0,None,None,None,None,10.43073,31.29218,6684.093,6729.176,-186.8449,1,None,49.97,10058.87,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.86841,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.43,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
39.470,31700,218.0614,116.6371,0,31.85749,0,0,6892.173,0,0,6895.917,0,0,-203.4211,0,0,1,0,0,None,None,None,None,10.43073,31.29218,6684.093,6687.188,-203.4211,1,None,49.97,10058.87,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.85749,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.43,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
40.480,31700,218.0614,116.6371,0,31.85749,0,0,6892.173,0,0,6895.917,0,0,-227.2122,0,0,1,0,0,None,None,None,None,10.61916,31.778,6780.935,6784.006,-204.1356,1,None,50.02,10058.88,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.778,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.43,1304.726,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
41.500,31600,213.5445,115.2904,0,31.778,0,0,6780.935,0,0,6777.843,0,0,-208.3992,0,0,1,0,0,None,None,None,None,10.62475,31.87426,6774.639,6777.843,-208.3992,1,None,49.97,10058.88,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.778,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.43,1304.727,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
42.510,31600,213.8218,114.978,0,31.87828,0,0,6781.856,0,0,6784.971,0,0,-205.5516,0,0,1,0,0,None,None,None,None,10.62475,31.87426,6774.639,6777.843,-208.3992,1,None,49.97,10058.88,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.87426,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.44,1304.727,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
43.520,31600,213.8071,115.2184,0,31.77954,0,0,6781.856,0,0,6784.971,0,0,-205.5516,0,0,1,0,0,None,None,None,None,10.62609,31.87828,6781.856,6784.971,-205.5516,1,None,49.97,10058.88,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.77954,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.44,1304.727,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
44.529,31600,213.8071,115.2184,0,31.77954,0,0,6789.784,0,0,6792.943,0,0,-207.1788,0,0,1,0,0,None,None,None,None,10.65147,31.95441,6775.018,6778.126,-205.2639,1,None,49.97,10058.88,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.95441,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.44,1304.727,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
45.539,31600,213.1115,114.8515,0,31.9271,0,0,6775.459,0,0,6778.492,0,0,-202.7503,0,0,1,0,0,None,None,None,None,10.64237,31.9271,6775.459,6778.492,-205.2639,1,None,49.97,10058.88,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.95441,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.44,1304.727,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
46.548,31600,212.4532,114.3984,0,31.95253,0,0,6769.824,0,0,6772.664,0,0,-196.1034,0,0,1,0,0,None,None,None,None,10.64237,31.9271,6775.459,6778.492,-202.7503,1,None,49.97,10058.89,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.95253,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.45,1304.727,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
47.558,31600,209.9918,113.6186,0,31.95253,0,0,6769.824,0,0,6772.664,0,0,-196.1034,0,0,1,0,0,None,None,None,None,10.65758,31.97275,6712.632,6715.293,-189.0207,1,None,49.97,10058.89,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.97276,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.45,1304.727,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
48.567,31600,209.9918,113.6186,0,31.97275,0,0,6721.701,0,0,6724.796,0,0,-204.0348,0,0,1,0,0,None,None,None,None,10.53738,31.61215,6721.701,6724.796,-204.0348,1,None,50.02,10058.89,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.97276,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.45,1304.727,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
49.577,31600,218.2837,115.4229,0,31.38398,0,0,6823.183,0,0,6826.866,0,0,-224.2525,0,0,1,0,0,None,None,None,None,10.46133,31.61215,6721.701,6724.796,-204.0348,1,None,50.02,10058.89,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.61215,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.45,1304.727,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
50.587,31600,217.7581,117.4461,0,31.87684,0,0,6823.183,0,0,6826.866,0,0,-224.2525,0,0,1,0,0,None,None,None,None,10.46133,31.38398,6823.183,6913.554,-219.2395,1,None,50.04,10058.9,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.87684,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.45,1304.727,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
51.605,31500,217.7581,117.4461,0,31.87684,0,0,6810.613,0,0,6813.532,0,0,-199.4065,0,0,1,0,0,None,None,None,None,10.66823,32.0047,6810.613,6813.532,-199.4065,1,None,49.97,10058.9,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.87684,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.45,1304.727,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
52.615,31500,212.9673,113.9697,0,31.46752,0,0,6614.153,0,0,6617.523,0,0,-211.1715,0,0,1,0,0,None,None,None,None,10.48917,31.46752,6614.153,6813.532,-199.4065,1,None,49.97,10058.9,3.558,None,None,None,None,None,None,None,None,None,None,0,0,0,0,31.46752,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,10062.46,1304.727,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
